CaseNumber | Name | Age | Gender | CNIC | Phone | CarPlate | Challan | Robbery | Murder | Drug Selling | Crime Points | Date Modified
8|'Hsp'Rohu''''''''''''''|37|'T''''''|';9878489:;<=>48'|'7::8=>?@<;:'|'HIJ89:'|9|8|7|7|14|'9798479487
9|'Mh{pth'Hotlk''''''''''|32|'M''''''|';98794@?>=<;:49'|'7:89;<=>?@7'|'_`a;<='|10|7|8|7|20|'979847:48<
10|'Hotlk'YhÅh''''''''''''|47|'T''''''|';987:4?>=<;:94:'|'7:;8>?@;<=8'|'WXY>?@'|8|7|7|8|11|'979847;497
11|'HÄlzoh'Thspr''''''''''|42|'M''''''|';987;49:;<=>?4;'|'7:9889:;<=>'|'STU789'|11|8|7|7|16|'979847<49<
12|'Ipshs'Hotlk'''''''''''|35|'T''''''|';98784>=<;:9848'|'7:79;<=?@78'|'VWX:;<'|9|7|8|7|19|'979847=4:7
13|'Zhpth'Pxihs'''''''''''|39|'M''''''|';987<4?>=<;:949'|'7::8;<=>?@7'|'\]^=>?'|10|7|8|7|20|'979847>47<
14|'Mhyohu'Hro{hy'''''''''|36|'T''''''|';98784:;<=>?@4:'|'7:;89?>=<;:'|'_`a@78'|9|8|7|7|14|'979847?487
15|'Hpzoh'Rohu''''''''''''|34|'M''''''|';9879489:;<=>4;'|'7:8989:;<=>'|'HIJ9:;'|8|7|7|8|11|'979847@48<
16|'\zthu'Hsp'''''''''''''|40|'T''''''|';987:4@?>=<;:48'|'7:98;<=>?@7'|'WXY<=>'|11|7|8|7|21|'9798487497
17|'ahpuhi'Thspr''''''''''|33|'M''''''|';987;4?>=<;:949'|'7::8>?@;<=8'|'STU?@7'|10|7|7|8|13|'979848849<
18|'Mhohk'Hotlk'''''''''''|38|'T''''''|';987849:;<=>?4:'|'7:;889:;<=>'|'VWX89:'|9|8|7|7|14|'97984894:7
19|'Upkh'Rohu'''''''''''''|35|'M''''''|';987=4>=<;:984;'|'7:79;<=?@78'|'\]^;<='|8|7|8|7|18|'979947847;
20|'Ptyhu'YhÅh''''''''''''|43|'T''''''|';98784?>=<;:948'|'7:88;<=>?@7'|'_`a>?@'|11|8|7|7|16|'979947947?
21|'Zhyh'Thspr''''''''''''|31|'M''''''|';98794:;<=>?@49'|'7::89?>=<;:'|'HIJ789'|10|7|7|8|13|'979947:48<
22|'Htpy'Hsp''''''''''''''|41|'T''''''|';987:489:;<=>4:'|'7:;889:;<=>'|'WXY:;<'|9|7|8|7|19|'979947;497
23|'Opuh'Hotlk''''''''''''|36|'M''''''|';987;4@?>=<;:4;'|'7:98;<=>?@7'|'STU=>?'|8|7|7|8|11|'979947<49<
26|'Zhsthu'Hro{hy'''''''''|35|'T''''''|';98794>=<;:984:'|'7:;8>?@;<=8'|'_`a<=>'|9|8|7|7|14|'979947?487
27|'Uhpth'Pxihs'''''''''''|39|'M''''''|';987:489:;<=>4;'|'7:78;<=>?@7'|'HIJ?@7'|8|7|7|8|11|'979947@48<
28|'Hypm'Hotlk''''''''''''|36|'T''''''|';987;4@?>=<;:48'|'7:8989:;<=>'|'WXY89:'|11|7|8|7|21|'9799487497
29|'Htpuh'Rohu''''''''''''|34|'M''''''|';987<4?>=<;:949'|'7:98;<=>?@7'|'STU;<='|10|7|7|8|13|'979948849<
30|'Zhtlly'Thspr''''''''''|40|'T''''''|';987=4:;<=>?@4:'|'7::8>?@;<=8'|'VWX>?@'|9|8|7|7|14|'97994894:7
31|'Mhypoh'Hotlk''''''''''|33|'M''''''|';9878489:;<=>4;'|'7:78;<=>?@7'|'\]^789'|8|7|7|8|11|'979:47847;
32|'Rhtyhu'YhÅh'''''''''''|38|'T''''''|';98794?>=<;:948'|'7:;889:;<=>'|'_`a:;<'|11|8|7|7|16|'979:47947?
33|'Upkh'Rohu'''''''''''''|35|'M''''''|';987:49:;<=>?49'|'7::89?>=<;:'|'HIJ=>?'|10|7|7|8|13|'979:47:48<
34|'`hzpy'Hsp'''''''''''''|43|'T''''''|';987;4>=<;:984:'|'7:88;<=>?@7'|'WXY@78'|9|7|8|7|19|'979:47;497
35|'Zhuh'Hotlk''''''''''''|36|'M''''''|';987<489:;<=>4;'|'7:;889:;<=>'|'STU9:;'|8|7|7|8|11|'979:47<49<
36|'Hzhk'YhÅh'''''''''''''|44|'T''''''|';987=4?>=<;:948'|'7:98;<=>?@7'|'VWX<=>'|11|8|7|7|16|'979:47=4:7
38|'ZohoÅhpi'Hsp''''''''''|35|'T''''''|';987>4:;<=>?@4:'|'7:89;<=>?@7'|'_`a9:;'|11|8|7|7|16|'979:48747?
39|'HÄlzoh'Hzsht''''''''''|39|'M''''''|';987?4?>=<;:94;'|'7:;8>?@;<=8'|'HIJ<=>'|8|7|7|8|11|'979:47@48<
40|'Ptyhu'Rohu''''''''''''|36|'T''''''|';987@49:;<=>?48'|'7:9889:;<=>'|'WXY?@7'|9|7|8|7|19|'979:487497
41|'Yhiph'Mhyvvx''''''''''|33|'M''''''|';98874>=<;:9849'|'7:79;<=?@78'|'\]^89:'|10|7|7|8|13|'979:48849<
42|'\zhth'Rohspk''''''''''|38|'T''''''|';98884@?>=<;:4:'|'7:;889:;<=>'|'_`a;<='|9|8|7|7|14|'979:4894:7
44|'[hypx'Tlotvvk'''''''''|40|'T''''''|';988:49:;<=>?48'|'7:98;<=>?@7'|'WXY789'|11|7|8|7|21|'979:47?479
45|'Opyh'Ih{vvs'''''''''''|31|'M''''''|';988;4>=<;:9849'|'7::89?>=<;:'|'STU:;<'|10|7|7|8|13|'979:47:48<
46|'Zhsthu'Hotlk''''''''''|41|'T''''''|';988<4@?>=<;:4:'|'7:;889:;<=>'|'VWX=>?'|9|7|8|7|19|'979:47;497
47|'Zhuph'Pxihs'''''''''''|36|'M''''''|';988=4?>=<;:94;'|'7:78;<=>?@7'|'\]^@78'|8|7|7|8|11|'979:47<49<
48|'Rhzopm'Hsp''''''''''''|44|'T''''''|';988>49:;<=>?48'|'7::8=>?@<;:'|'_`a9:;'|11|8|7|7|16|'979:47=4:7
49|'Zhtpuh'YphÅ'''''''''''|37|'M''''''|';988?4>=<;:9849'|'7:89;<=>?@7'|'HIJ<=>'|10|7|8|7|20|'979:47<47>
50|'Mhpzhs'Rohu'''''''''''|35|'T''''''|';988@4@?>=<;:4:'|'7:;8>?@;<=8'|'WXY?@7'|9|8|7|7|14|'979:48747?
51|'Uvyllu'Ihzopy'''''''''|39|'M''''''|';98974?>=<;:94;'|'7::8;<=>?@7'|'STU89:'|8|7|7|8|11|'979:47@48<
52|'Hklls'Hothk'''''''''''|36|'T''''''|';989849:;<=>?48'|'7:9889:;<=>'|'VWX;<='|11|7|8|7|21|'979:487497
53|'Zhyho'Qhtlls''''''''''|34|'M''''''|';98994>=<;:9849'|'7:8989:;<=>'|'\]^>?@'|10|7|7|8|13|'979:48849<
54|'Ptyhu'Rohu''''''''''''|40|'T''''''|';989:4@?>=<;:4:'|'7:;889:;<=>'|'_`a789'|9|7|8|7|19|'979:4894:7
55|'Hpzoh'YphÅ''''''''''''|33|'M''''''|';989;4?>=<;:94;'|'7:78;<=>?@7'|'HIJ:;<'|8|7|7|8|11|'979:47;478
56|'[hypx'Hsp'''''''''''''|38|'T''''''|';989<49:;<=>?48'|'7::8=>?@<;:'|'WXY=>?'|11|8|7|7|16|'979:47?479
57|'Rohkpqh'Pxihs'''''''''|35|'M''''''|';989=4>=<;:9849'|'7:;8>?@;<=8'|'STU@78'|10|7|8|7|20|'979:47:48<
58|'Uhills'Hotlk''''''''''|43|'T''''''|';989>4@?>=<;:4:'|'7::8;<=>?@7'|'VWX9:;'|9|8|7|7|14|'979:47;497
59|'Htpuh'Ih{vvs''''''''''|36|'M''''''|';989?4?>=<;:94;'|'7:8989:;<=>'|'\]^<=>'|8|7|7|8|11|'979:47<49<
60|'Ipshs'YphÅ''''''''''''|44|'T''''''|';989@49:;<=>?48'|'7:98;<=>?@7'|'_`a?@7'|11|8|7|7|16|'979:47=4:7
61|'Zohiuht'Rohu''''''''''|37|'M''''''|';98:74>=<;:9849'|'7::889:;<=>'|'HIJ89:'|10|7|8|7|20|'979:47<47>
62|'Zhtlly'Hotlk''''''''''|35|'T''''''|';98:84@?>=<;:4:'|'7:;8;<=>?@7'|'WXY;<='|9|7|7|8|12|'979:48747?
64|'Htpy'Rohu'''''''''''''|36|'T''''''|';98::49:;<=>?48'|'7:98>?@;<=8'|'VWX789'|11|7|8|7|21|'979:487497
65|'Zhyh'Mhyvvx'''''''''''|33|'M''''''|';98:;4>=<;:9849'|'7:;9;<=?@78'|'\]^:;<'|10|7|7|8|13|'979:48849<
66|'Ipshs'Rohspk''''''''''|38|'T''''''|';98:<4@?>=<;:4:'|'7:8889:;<=>'|'_`a<=>'|9|8|7|7|14|'979:4894:7
