CaseNumber | Name                  | Age | Gender | CNIC             | Phone         | CarPlate | Challan | Robbery | Murder | Drug Selling | Crime Points | Date Modified
01          | Ali Khan              | 30  | M      | 42101-1234567-1 | 03316789543 | ABC123 | 2       | 1       | 0      | 0             | 1            | 2021-02-10
02          | Fatima Ahmed          | 25  | F      | 42102-9876543-2 | 03124567890 | XYZ456 | 3       | 0       | 1      | 0             | 2            | 2021-03-15
03          | Ahmed Raza            | 40  | M      | 42103-8765432-3 | 03417894561 | PQR789 | 1       | 0       | 0      | 1             | 1            | 2021-04-20
04          | Ayesha Malik          | 35  | F      | 42104-2345678-4 | 03211234567 | LMN012 | 4       | 1       | 0      | 0             | 3            | 2021-05-25
05          | Bilal Ahmed           | 28  | M      | 42101-7654321-1 | 03024568901 | OPQ345 | 2       | 0       | 1      | 0             | 2            | 2021-06-30
06          | Saima Iqbal           | 32  | F      | 42105-8765432-2 | 03314567890 | UVW678 | 3       | 0       | 1      | 0             | 2            | 2021-07-05
07          | Farhan Akhtar         | 29  | M      | 42101-3456789-3 | 03412876543 | XYZ901 | 2       | 1       | 0      | 0             | 1            | 2021-08-10
08          | Aisha Khan            | 27  | F      | 42102-1234567-4 | 03121234567 | ABC234 | 1       | 0       | 0      | 1             | 1            | 2021-09-15
09          | Usman Ali             | 33  | M      | 42103-9876543-1 | 03214567890 | PQR567 | 4       | 0       | 1      | 0             | 3            | 2021-10-20
10          | Zainab Malik          | 26  | F      | 42104-8765432-2 | 03317894561 | LMN890 | 3       | 0       | 0      | 1             | 2            | 2021-11-25
11          | Fahad Ahmed           | 31  | M      | 42101-2345678-3 | 03411234567 | OPQ123 | 2       | 1       | 0      | 0             | 1            | 2021-12-30
12          | Nida Khan             | 28  | F      | 42106-7654321-4 | 03024568901 | UVW456 | 1       | 0       | 1      | 0             | 2            | 2022-01-04
13          | Imran Raza            | 36  | M      | 42101-8765432-1 | 03114567890 | XYZ789 | 4       | 1       | 0      | 0             | 3            | 2022-02-08
14          | Sara Malik            | 24  | F      | 42102-3456789-2 | 03312876543 | ABC012 | 3       | 0       | 0      | 1             | 2            | 2022-03-15
15          | Amir Ali              | 34  | M      | 42103-1234567-3 | 03411234567 | PQR345 | 2       | 0       | 1      | 0             | 2            | 2022-04-20
16          | Hina Ahmed            | 29  | F      | 42104-9876543-4 | 03214567890 | LMN678 | 1       | 0       | 0      | 1             | 1            | 2022-05-25
19          | Salman Akhtar         | 28  | M      | 42102-7654321-3 | 03417894561 | XYZ567 | 2       | 1       | 0      | 0             | 1            | 2022-08-10
20          | Naima Iqbal           | 32  | F      | 42103-1234567-4 | 03014567890 | ABC890 | 1       | 0       | 0      | 1             | 1            | 2022-09-15
21          | Arif Ahmed            | 29  | M      | 42104-9876543-1 | 03121234567 | PQR123 | 4       | 0       | 1      | 0             | 3            | 2022-10-20
22          | Amina Khan            | 27  | F      | 42105-8765432-2 | 03214567890 | LMN456 | 3       | 0       | 0      | 1             | 2            | 2022-11-25
23          | Sameer Malik          | 33  | M      | 42106-3456789-3 | 03317894561 | OPQ789 | 2       | 1       | 0      | 0             | 1            | 2022-12-30
24          | Fariha Ahmed          | 26  | F      | 42101-1234567-4 | 03014567890 | UVW012 | 1       | 0       | 0      | 1             | 1            | 2023-01-04
25          | Kamran Raza           | 31  | M      | 42102-8765432-1 | 03411234567 | XYZ345 | 4       | 1       | 0      | 0             | 3            | 2023-02-08
26          | Nida Khan             | 28  | F      | 42103-2345678-2 | 03312876543 | ABC678 | 3       | 0       | 0      | 1             | 2            | 2023-03-15
27          | Yasir Ali             | 36  | M      | 42104-7654321-3 | 03114567890 | PQR901 | 2       | 0       | 1      | 0             | 2            | 2023-04-20
28          | Sana Ahmed            | 29  | F      | 42105-1234567-4 | 03411234567 | LMN234 | 1       | 0       | 0      | 1             | 1            | 2023-05-25
29          | Asad Raza             | 37  | M      | 42106-8765432-1 | 03214567890 | OPQ567 | 4       | 1       | 0      | 0             | 3            | 2023-06-30
31          | Shahzaib Ali          | 28  | M      | 42107-3456789-3 | 03124567890 | XYZ234 | 4       | 1       | 0      | 0             | 3            | 2023-10-08
32          | Ayesha Aslam          | 32  | F      | 42108-8765432-4 | 03417894561 | ABC567 | 1       | 0       | 0      | 1             | 1            | 2023-09-15
33          | Imran Khan            | 29  | M      | 42109-2345678-1 | 03211234567 | PQR890 | 2       | 0       | 1      | 0             | 2            | 2023-10-20
34          | Rabia Farooq          | 26  | F      | 42110-7654321-2 | 03024568901 | UVW123 | 3       | 0       | 0      | 1             | 2            | 2023-11-25
35          | Usama Khalid          | 31  | M      | 42111-9876543-3 | 03411234567 | XYZ456 | 2       | 1       | 0      | 0             | 1            | 2023-12-30
37          | Tariq Mehmood         | 33  | M      | 42113-2345678-1 | 03214567890 | PQR012 | 4       | 0       | 1      | 0             | 3            | 2023-08-02
38          | Hira Batool           | 24  | F      | 42114-7654321-2 | 03312876543 | LMN345 | 3       | 0       | 0      | 1             | 2            | 2023-03-15
39          | Salman Ahmed          | 34  | M      | 42115-9876543-3 | 03411234567 | OPQ678 | 2       | 0       | 1      | 0             | 2            | 2023-04-20
40          | Sania Iqbal           | 29  | F      | 42116-8765432-4 | 03014567890 | UVW901 | 1       | 0       | 0      | 1             | 1            | 2023-05-25
